Protein.Group	Protein.Names	Genes	First.Protein.Description	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NotTreated_1_A50414_RD1_1_10360.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NotTreated_2_A50418_RD5_1_10374.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NotTreated_3_A50422_RD9_1_10382.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NotTreated_4_A50426_RD13_1_10390.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NotTreated_5_A50430_RD17_1_10398.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NTZB_1_A50417_RD4_1_10372.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NTZB_2_A50421_RD8_1_10380.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NTZB_3_A50425_RD12_1_10388.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NTZB_4_A50429_RD16_1_10396.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NTZB_5_A50433_RD20_1_10404.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_T_1_A50415_RD2_1_10368.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_T_2_A50419_RD6_1_10376.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_T_3_A50423_RD10_1_10384.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_T_4_A50427_RD14_1_10392.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_T_5_A50431_RD18_1_10400.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_TZB_1_A50416_RD3_1_10370.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_TZB_2_A50420_RD7_1_10378.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_TZB_3_A50424_RD11_1_10386.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_TZB_4_A50428_RD15_1_10394.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_TZB_5_A50432_RD19_1_10402.d
A2RUC4	TYW5_HUMAN	TYW5		12238.1	11209.3	12529.6	11719.2	10505.3	12520.6	12196	10757.9	10900.1	16338.7	11188.1	13930.2	14830.1	12068.2	8468.97	8538.72	10348.1	10232	8382.22	9372.3
A2RUS2	DEND3_HUMAN	DENND3		79943.3	92227.5	87689.9	82016.1	77529.1	59522.8	67432.6	89673.3	73742.3	69699.6	111900	98711.7	92014.8	66660.4	90889.1	74736	74253	82108.2	62190.5	59117.2
A2VDJ0	T131L_HUMAN	TMEM131L		23184.7	16468.9	17511.1	26805.1	24041.7	23342.3	17270	23174.5	17021	16982.3	22863.9	23966.6	22088.9	22584.6	18770.9	29379.1	17442.3	19741.7	15520.9	26703.7
A3KMH1	VWA8_HUMAN	VWA8		43562.3	44152.8	42464.6	47196.2	48890.2	40785.6	38787.9	45810.6	39334.6	44278.8	46130	47340	48511.2	44684	40564.1	44023.3	48528.8	53907	50474.6	58790.4
A3KN83	SBNO1_HUMAN	SBNO1		103156	83208.9	80257.3	102843	94109.1	98361.5	84692.7	88824.1	81054.4	79886.5	91199.6	103286	95954.1	82910.3	85506.1	69218.7	64603.4	68938.6	58818.2	80601.3
A4D126	ISPD_HUMAN	CRPPA		15396.3	16346	8867.5	9704.7	12281.3	12030.7	14434.3	11196.1	14121.6	11668.3	8339.59	13150.3	10850.5	15976.1	15870.1	6295.07	9299.73	8754.47	9590.22	8290.73
A4D1E9	GTPBA_HUMAN	GTPBP10		57335.2	38390.7	32942.8	56922.6	54844	48229	38887.5	62839.1	40340.5	35320.5	44253.8	44988.9	37675.2	42132.8	32962.2	62505.3	42606.9	36537	53329.5	74333.4
A4D1P6	WDR91_HUMAN	WDR91		171044	184558	182695	223862	170452	164499	135964	170169	175163	190610	168417	165955	159999	161411	196006	194156	165896	184413	139745	197058
A4D2B0	MBLC1_HUMAN	MBLAC1			9289.36	11069		7038.23			10522.5	8640.94	6537.76	10482.2			4490.38	9245.38		7959.08	10761	7352.77	
A5A3E0	POTEF_HUMAN	POTEF		1.88656e+06	2.92541e+06	3.00833e+06	2.32606e+06	1.0849e+06	3.90287e+06	4.33316e+06	1.41247e+06	3.59478e+06	4.20914e+06	2.43596e+06	2.47488e+06	3.25697e+06	4.20636e+06	2.49381e+06	5.04705e+06	4.62653e+06	4.86502e+06	4.97136e+06	1.55373e+06
A5D8V6	VP37C_HUMAN	VPS37C		14915.4	16353.2	15429.9	11486	11889.5	22673.6	24821	26318	18737	27379.5	13319.9	18974.6	14988.4	20367.2	12616.2	20717.2	27784.9	29383.6	30185	24546.1
A5PLL7	PDES1_HUMAN	PEDS1		39602.8	35724.4	41729.7	30405.7	34295.6	38611.8	38222	34564.8	40447.3	35621.2	43101.3	36210.1	28328.8	34352	39760.1	43760.2	45575.9	47252.2	54448.7	42932.5
A5PLN9	TPC13_HUMAN	TRAPPC13		35825.9	48386.4	49209	47823.1	53361.1	66140.6	79381.2	59107.4	63839.4	66542	49749.3	53235.5	41110.1	69392.7	48252	90515.9	65937.5	63648.6	69793.5	49327.2
A5YKK6	CNOT1_HUMAN	CNOT1		420020	393622	394387	358311	371149	369994	359928	362245	366182	359407	374533	379540	351742	363466	371841	333719	334753	392045	275997	320777
A6NC98	CC88B_HUMAN	CCDC88B		130539	144346	130585	136994	129223	156549	160296	134888	134053	131874	114806	137536	148672	172054	147302	114307	134660	100188	101617	131350
A6NCC3;F8WBI6	GOG8N_HUMAN;GOG8O_HUMAN	GOLGA8N;GOLGA8O		95630.3	91593.7	95492.3	105861	110918	88853.3	89360.2	109364	81328	89408.7	103756	104047	98755.5	68998.5	93631.8	97101.2	82529.4	80984.7	89586.2	77649.7
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2		42485.8	15953.5	11474.9	47102.4	25605.8	55658.9	36109.6	25349.8	27510	43699.2	16680.7	45941.7	53024.3	26789.3		50771.3	53489.9	28920	52290.4	71012.5
A6NDG6	PGP_HUMAN	PGP		192506	232219	248120	281033	235548	333413	327460	193948	279680	266811	190562	268526	305295	305959	267485	242562	246933	176787	158303	222772
A6NDU8	RIMC1_HUMAN	RIMOC1		15677.6	15877.2	20389.1	13761.4	12771.1	18742.2	22665.8	18471.2	27369.9	21579.8	16943	12112.6	16080.3	18031.5	18787.7	22355.3	12986	14526.5	4881.98	13070.1
A6NED2	RCCD1_HUMAN	RCCD1		58926.2	56086.4	43298.9	37695.2	56405.7	42112	49850.6	49410.6	45102.4	50257	60526.3	48854.2	45119.3	38161.4	53620.2	50526.3	41067.5	36720.6	32888.9	25203.8
A6NFI3	ZN316_HUMAN	ZNF316		88795.4	92853.2	96578.5	94056.5	90675	96490.4	90514.6	98313.4	74156.1	78546.6	107792	98654.6	94911.9	88579.1	89169.5	105860	114394	117782	114834	106048
A6NHL2	TBAL3_HUMAN	TUBAL3		150554	143412	122969	202146	153807	125404	163473	297586	135050	144929	149511	165086	133557	124793	201821	658223	156551	179610	113310	146147
A6NHQ2	FBLL1_HUMAN	FBLL1		646638						681462		156715	378661			728894			1.05472e+06	1.00198e+06	1.07855e+06		
A6NHR9	SMHD1_HUMAN	SMCHD1		155774	148365	153776	170447	169152	178323	175438	179590	158248	165593	154491	171987	163155	153015	162072	219711	229603	245068	267140	249733
A6NHX0	CAST2_HUMAN	CASTOR2		8230.4		10750.2	9461.78	11554.1	12442.3	11449	14125.4	10903.8	14839.6	9901.05	12656.5	11711.9	11770.8	11846		11540.7	8983.28		7312.06
A6NIH7	U119B_HUMAN	UNC119B		111676	90984.2	97226.3	107109	101929	112689	108800	101320	107911	113876	99503.3	115385	93030	85962.4	88202.1	83955.8	99024.6	90584.7	84240	70334.1
A6NJ78	MET15_HUMAN	METTL15		33138.8	32253.4	30208	25062.4	28401.2	24666.4	24141.8	28899.3	32121.4	24090.7	35943.4	25395.5	30836.4	32914.7	31924.1	43339.7	30903.1	40275.3	40694.9	36476
A6NJG2	SWAHD_HUMAN	SOWAHD		61087.8	71666.7	68716.2	71543.7	73366.7	57837.3	48846.5	66646.9	58491.7	56487.8	56064	75381.3	60408	73210	70147.6	32474.1	30333.7	30649.9	44094.2	40147.8
A6NK58	LIPT2_HUMAN	LIPT2			35056		34511	34791.1		17214.8	30074.3	12696.4	19667.8	20167.6	25173.7	5423.09		30534.1		8724.47	15702.8	12328.9	28376.5
A6NKD9	CC85C_HUMAN	CCDC85C		13781.7	13173.9	13485.7		10518.3	8325.38	10197.3	10689.6	8022.02		12112.2	11597.7		15164.9	14127.7		23891.8		6517.05	7727.17
A6NKF1	SAC31_HUMAN	SAC3D1		13169.4	20225.1	12029.6	11926.9	7687.31	20437	17293.1	8558.21	18447	17341	10488.4	10163.3	14903.2	14913.1	10834.9	12003	15933.8	15079.5	17717	9705.23
A6NM28	ZFP92_HUMAN	ZFP92		4680.47	5830.64	7942.02	14278.2	5475.78	9302.61		8870.78	8908.51	9823.69	8645.64	8348.48		6200.42	13385.9	9967.89			11138.3	4438.8
A6NMY6	AXA2L_HUMAN	ANXA2P2		12444.5	53139.5	44451.4	19983.2	17988	33459.2	100709	24712.6	95022.8	74659.6	27284.8	18962.4	40556.6		50114.7	77304.1	100795	83072.6	113346	17734.8
A6ZKI3	RTL8C_HUMAN	RTL8C		6953.15	5574.19	7187.47	10209.5	6007.26		11577.4	6813.65	7315.79	8291.69	3676	4744.26	10637.9	14234	4936.56	5392.11	12767.1	12465.3	6087.53	14817.3
A7E2V4	ZSWM8_HUMAN	ZSWIM8		10312.7	14427.7	13181.6	14312.6	10479.3	8941.62	12446.3	15889.1	12121	12210.8	11713.2	13786.9	13194.2	17681	14558	15050.7	15544	14885.3	9930.74	13077
A7KAX9	RHG32_HUMAN	ARHGAP32		6712.52	12498.1	15991.1	15066.8	17065.7	12161.8	12424.9	10331.4	14872.9	15570.3		21265.1	17859.5	17306.8	11193		10382.2	5711.57	11738.3	13448.3
A7MCY6	TBKB1_HUMAN	TBKBP1		12695.4		9987.91	12653.1	19017.8	10218.9	5668.19		9984.3				14389.1	12112.3	11274.8					
A8CG34	P121C_HUMAN	POM121C		60046.6	43660.5	56942.4	58632	45126.3	58700.8	58612.4	63382.3	53235	55377.2	53380	51355.4	49458.1	62763.1	41945.8	67708.1	58529.3	57639.2	60496.6	62282.2
A8MPS7	YDJC_HUMAN	YDJC		28827	29517	26317.9	28637.6	28073	22525.8	26462.3	28595.9	26804.5	29856.3	20786.6	31694.2	27126.1	25656	25481.5	23359.1	25580.4	22798.1	16199.8	21589.4
A8MQ14	ZN850_HUMAN	ZNF850		12788.8	9464.04	15228.6	12989.5	10873.1	9063.86	14488.9	10539.1	9748.43	10763.5	13857.3	13658	12132.2			13677.6	9238.99	10917.5	11466.8	13198.8
A8MTL9	HMSD_HUMAN	HMSD			4851.42		11035.2	8498.12			8307.09			4145.56		7326.89		7764.35		4904.9			12090.5
A8MTT3	CEBOS_HUMAN	CEBPZOS		59020.6	22987.1	40474.5	48104.3	39632.9	73266.1	49752.4	43003.1	32866	44699.4	17927.1	37381	75056.2	39484.4	39761.6	68016.9	57975.2	56873.7	72373.7	61128.5
A8MUA0;Q5PR19;A6NL46;A8MUI8;A8MV72;A8MX80;Q8N9G6	YA034_HUMAN;YB057_HUMAN;YF016_HUMAN;YH009_HUMAN;YI024_HUMAN;YJ012_HUMAN;YM017_HUMAN								25226.8			19213.5	15197.8							16971.7			
A8MVS5	HIDE1_HUMAN	HIDE1		7255.84	10297.8	15240.8	14032.1	9196.29	5434.7		14133.6	14765.4	13659.2	8208.84	11896.2	11719.7	10403.3	13927.9		16321.9	16436.5		13247.1
A8MW92	P20L1_HUMAN	PHF20L1		32466.6	49733.1	34049	36959.9	36533.9	38085.6	32685.9	34148.2	29725.4	40472.8	32766.4	33010.5	25694.3	55552.5	35004.8	57931.4	38364.4	31511.9	31061.3	33386.3
A8MXV4	NUD19_HUMAN	NUDT19		53689	69476	75372.9	54171.8	48555.9	90496.5	82829.4	58654.2	70198.8	75748.9	83633.1	64615.2	78336.5	64785.3	71451.1	109411	84503.4	92039.3	98026.2	57234.7
A9QM74	IMA8_HUMAN	KPNA7							190531			207586				178475					124556		
A9UHW6	MI4GD_HUMAN	MIF4GD		55322.4	35145.8	43949.8	35977.3	38378.4	51542.4	42851.6	53028.1	46241	47985.5	40982.3	35125	49169.2	37768.1	37745	39226.7	26007.5	24004.7	33932.8	32155.1
A9YTQ3	AHRR_HUMAN	AHRR		19141	24956	20346.6	23142.7	25550.1	14478.3	20798	16351.7	16058	21103.2	21168.1	21361.8	22116.8	23203	18119.9	20238.1	25528.5	28027.6	33254	23157.8
B0I1T2	MYO1G_HUMAN	MYO1G		239702	310268	316301	337841	311056	260196	303100	314433	318572	298680	241348	310146	317826	265353	316076	256069	347990	330934	355472	337063
B1AK53	ESPN_HUMAN	ESPN		19044.3	20525.5	20891.1	20610.8	20752.6	19228.5	23818.1	19937.3	23501	22996.2	22948.4	20461.7	15755.2	20781.7	21654.3	25085.8	25080.5	21336		
B1AL46	NTM2E_HUMAN	NUTM2E		10467.5	8432.64	16495.6	14876.8	21886.9	11551		19107.1	13032.2			19197.5		13739.9	15590.9		7924.68	9366.96		
B2RTY4	MYO9A_HUMAN	MYO9A		25427.7	28699.2	24017.3	17495.2	33812	23918	16395.7	24083.8	19356.1	25794.8	29079.4	32659.5	18412.5	23940.5	33617.7	22209.6	20342.1	31492.5		13280
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B		40146	46194.3	36295.3	44194.8	41989.6	55311.1	53234.4	37122.6	43683.2	45153.6	49078.1	43810.9	43095.1	40912.6	47363.3	54553.5	65060.7	69592.9	62434.8	58607.5
B7ZBB8	PP13G_HUMAN	PPP1R3G		141425	121124	121321	123545	141103	131542	125137	93082.6	132984	123304	96491.6	148892	174722	143224	117047	84797.2	109131	86941.6	122984	97001.8
B9DGT7;P29511;Q0WV25	TBA2_ARATH;TBA4_ARATH;TBA6_ARATH	TUBA2;TUBA4;TUBA6		1.95841e+06	1.83284e+06	2.35298e+06	2.11942e+06	1.19312e+06	2.15057e+06	3.61574e+06	965086	3.33662e+06	3.40292e+06	2.83543e+06	2.04104e+06	2.7207e+06	663819	987989	1.8084e+06	2.83556e+06	2.2277e+06	2.18601e+06	2.06378e+06
B9DHQ0;Q56WH1	TBA3_ARATH;TBA5_ARATH	TUBA3;TUBA5		122160	113899	111831	127616	119506	432986	137751	115573	105158	135410	129859	139422	134607	499885	96545.3	127984	121424	79897.3	59199.6	225338
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P		43309.2	42471.5	37964.1	37190.6	53117.2	54214.8	44877.3	43138	44026	50423.5	29853.2	46936.9	39802.6	28682.5	38191	25333.3	36521.4	19460.1	37767.6	38526.9
C9JLW8	MCRI1_HUMAN	MCRIP1		26413.7	22549.3	30747.8	25711.6	34210.1	24064.2	32835.3	39514.7	32960.5	34715.4	20019.6	20082.8	23507	25643.2	26753.3	29157.9	31624.9	26514.9	36415.2	27769.3
C9JN71	ZN878_HUMAN	ZNF878		8761.7	7389.9	8575.49	6158.66	9847.24	13658.8	6488.08	10873.7	8214.78	7642.68	6531.26	10379.6	7609.67	6488.84	6268.08	7153.12		6299.75	6134.32	7841.72
C9JRZ8	AK1BF_HUMAN	AKR1B15		12092.9	9045.02	10264.2	19143.1	15226	20371.8		16558.7	14299.5	9255.31	5562.17	12394.7	20674.9	9533.09	8829.91	16263.2	14312.8	20784.1	17388.2	19308.7
Conta_crap_maxquant|121_kDa_protein|Bos_taurus|ENSBTAP00000031900|ENSEMBL																18008.8			9834.65		10642.5		
Conta_crap_maxquant|12_kDa_protein|Bos_taurus|ENSBTAP00000014147|ENSEMBL				13370.6	13736	29700.3	22300.6	22114.1	16393.3	16783.1	17260.8	15336.7	18502.1	15727.6	10437.3	128499	27096.9	20402.1	43458.8	35180.6	54202.8	61332.2	35756.6
Conta_crap_maxquant|15_kDa_protein|Bos_taurus|ENSBTAP00000011227|ENSEMBL																30367.5			50614.9		86965.3	14018.8	10649.3
Conta_crap_maxquant|15_kDa_protein|Bos_taurus|ENSBTAP00000033053|ENSEMBL				7790.85	6669.24	18031.1	10140.1	10541.7	18721.7	8169.77			11645.6	13803.7	11233.5	66573.3	12156.7	11918.3	24697.5	23243.7	32974	35310.5	14399.8
Conta_crap_maxquant|44_kDa_protein|Bos_taurus|ENSBTAP00000024466|ENSEMBL												3147.79			4046.13	31861				2756.35	3978.29	6792.88	6906.08
Conta_crap_maxquant|46_kDa_protein|Bos_taurus|ENSBTAP00000023402|ENSEMBL									11863.1	7508.9		6685.26	12076.8		9774.23	43782.4	18637.8	4030.03	9320.81	16584.9	20334.5	39485.8	13005.3
Conta_crap_maxquant|47_kDa_protein|Bos_taurus|ENSBTAP00000024462|ENSEMBL				80734.1	57332.1	154006	127310	121329	91291.5	77316.7	80770.2	84237.9	94268.5	67672.2	102905	860855	147634	108051	100929	144717	162991	212408	182282
Conta_crap_maxquant|54_kDa_protein|Bos_taurus|ENSBTAP00000018229|ENSEMBL				376192	229028	488448	550435	561292	301789	218127	254858	280177	323457	361183	352209	2.25595e+06	218308	444845	298180	455099	629763	965433	595749
Conta_crap_maxquant|55_kDa_protein|Bos_taurus|ENSBTAP00000018574|ENSEMBL				92688.6	56117.3	92284.7	119848	106761	121760	68197.9	78034.5	63631.6	88233.4	81043.1	69731.1	370220	112753	85543.3	146942	131102	226849	250008	149254
Conta_crap_maxquant|68_kDa_protein|Bos_taurus|ENSBTAP00000023055|ENSEMBL				37859.8	24089.2	27307.5	26376.3	27974.7	54000.5	31502.1	23446	27432.5	35736.3	39024.6	23893.1	64391.6	28379.7	35651.9	61118.4	47701.3	54985.9	54326.4	54057
Conta_crap_maxquant|81_kDa_protein|Bos_taurus|ENSBTAP00000006074|ENSEMBL				29781.5		26818.3	4305.66	15269.4		7421.98			13893.7	29247.2		38219.3		19200.3	16972.3		25823.2	30827	10388.5
Conta_crap_maxquant|9_kDa_protein|Bos_taurus|ENSBTAP00000038329|ENSEMBL				83007.2	42480.6	164927	176735	145640	114375	76402.4	103530	82554.6	82280.1	83051.9	175630	1.24462e+06	210551	117858	116464	139588	303799	319222	278699
Conta_crap_maxquant|Acidic_mammalian_chitinase|Bos_taurus|Q95M17|Swissprot						12448.7				5256.36	4114.3			5634.38		47369.3		41764.7	3381.34	5032.79	14311.4	15543.7	11145.9
Conta_crap_maxquant|Adiponectin|Bos_taurus|Q3Y5Z3|Swissprot					6127.87	28650.5	19117.7	35551.3	10879.2	11814.4	18186.2	10114.9	9650.63	13165.4	20274.1	121001	45745.1	17775.4	31698	37261.8	45599.5	41486.7	30106.7
Conta_crap_maxquant|Alpha-1-acid_glycoprotein|Bos_taurus|Q3SZR3|Swissprot				15055.9	20344	78487	34867.1	28057.5	41160.4	61295.2	37560.2	120316	85079.4	41434.4	46897.7	288787	93066.2	64352.1	128423	143179	226964	244827	74089.9
Conta_crap_maxquant|Alpha-1-antiproteinase|Bos_taurus|P34955|Swissprot				1.65952e+06	759895	2.32768e+06	2.14143e+06	1.72343e+06	2.37592e+06	1.76377e+06	1.1826e+06	1.25924e+06	1.66579e+06	1.2929e+06	2.32265e+06	8.63313e+06	3.28371e+06	1.59215e+06	3.15788e+06	3.40615e+06	4.92916e+06	5.98316e+06	3.0711e+06
Conta_crap_maxquant|Alpha-1B-glycoprotein|Bos_taurus|Q2KJF1|TrEMBL				73353.7	42273.1	162819	113152	119135	126881	79174.2	62221.8	79539.8	99610.4	58779.7	110882	1.05519e+06	194637	92029.5	141939	190754	214912	272933	209228
Conta_crap_maxquant|Alpha-2-HS-glycoprotein|Bos_taurus|P12763|Swissprot				5.4914e+06	4.91126e+06	6.92404e+06	7.0095e+06	7.30692e+06	9.36912e+06	6.27705e+06	5.41278e+06	7.49464e+06	7.39379e+06	6.80579e+06	4.69743e+06	1.31847e+07	6.33792e+06	6.22092e+06	8.41956e+06	6.94582e+06	9.78506e+06	1.39109e+07	8.24628e+06
